,CUSIP,year,month,return,dummy_variable
345,68389X10,2014,11,0.086044,0
346,68389X10,2014,12,0.060363,0
347,68389X10,2015,01,-0.065822,0
348,68389X10,2015,02,0.046073,0
349,68389X10,2015,03,-0.015290,0
350,68389X10,2015,04,0.014368,0
351,68389X10,2015,05,-0.002980,0
352,68389X10,2015,06,-0.073350,0
353,68389X10,2015,07,-0.005211,0
354,68389X10,2015,08,-0.071357,0
355,68389X10,2015,09,-0.026153,0
356,68389X10,2015,10,0.079457,0
357,68389X10,2015,11,0.003347,0
358,68389X10,2015,12,-0.062612,0
359,68389X10,2016,01,-0.001916,0
360,68389X10,2016,02,0.012944,0
361,68389X10,2016,03,0.112289,0
362,68389X10,2016,04,-0.021999,0
363,68389X10,2016,05,0.008530,0
364,68389X10,2016,06,0.018159,0
365,68389X10,2016,07,0.006352,0
366,68389X10,2016,08,0.004386,0
367,68389X10,2016,09,-0.047065,0
368,68389X10,2016,10,-0.018075,0
369,68389X10,2016,11,0.046070,0
370,68389X10,2016,12,-0.043294,0
371,68389X10,2017,01,0.047074,0
372,68389X10,2017,02,0.061830,0
373,68389X10,2017,03,0.047429,0
374,68389X10,2017,04,0.012105,0
375,68389X10,2017,05,0.009564,0
376,68389X10,2017,06,0.104649,0
377,68389X10,2017,07,-0.000399,0
378,68389X10,2017,08,0.008011,0
379,68389X10,2017,09,-0.039340,0
380,68389X10,2017,10,0.056670,0
381,68389X10,2017,11,-0.036149,0
382,68389X10,2017,12,-0.036282,0
383,68389X10,2018,01,0.095178,0
384,68389X10,2018,02,-0.017833,0
385,68389X10,2018,03,-0.097099,0
386,68389X10,2018,04,0.002404,0
387,68389X10,2018,05,0.022991,0
388,68389X10,2018,06,-0.056935,0
389,68389X10,2018,07,0.086473,0
390,68389X10,2018,08,0.018876,0
391,68389X10,2018,09,0.061342,0
392,68389X10,2018,10,-0.049069,0
393,68389X10,2018,11,-0.001638,1
394,68389X10,2018,12,-0.074036,0
395,68389X10,2019,01,0.116722,0
396,68389X10,2019,02,0.037826,0
397,68389X10,2019,03,0.030309,0
398,68389X10,2019,04,0.034630,0
399,68389X10,2019,05,-0.085487,0
400,68389X10,2019,06,0.125889,0
401,68389X10,2019,07,-0.007548,0
402,68389X10,2019,08,-0.075311,0
403,68389X10,2019,09,0.057050,0
404,68389X10,2019,10,-0.005452,0
405,68389X10,2019,11,0.030281,0
406,68389X10,2019,12,-0.056288,0
407,68389X10,2020,01,-0.005474,0
408,68389X10,2020,02,-0.057007,0
409,68389X10,2020,03,-0.022847,0
410,68389X10,2020,04,0.100972,0
411,68389X10,2020,05,0.015103,0
412,68389X10,2020,06,0.027897,0
413,68389X10,2020,07,0.007599,0
414,68389X10,2020,08,0.031921,0
415,68389X10,2020,09,0.043341,0
416,68389X10,2020,10,-0.056114,0
