,date,CUSIP,quarters,average_return,date,CUSIP,quarters
3484,2014,20825C10,3,-0.034181333333333334,2014,20825C10,3.0
3485,2014,20825C10,4,-0.028861000000000008,2014,20825C10,4.0
3486,2015,20825C10,1,-0.02876366666666667,,,
3487,2015,20825C10,2,0.0011946666666666679,,,
3488,2015,20825C10,3,-0.07202166666666666,,,
3489,2015,20825C10,4,0.0015886666666666642,,,
3490,2016,20825C10,1,-0.033523,,,
3491,2016,20825C10,2,0.03464433333333333,,,
3492,2016,20825C10,3,0.0021866666666666653,,,
3493,2016,20825C10,4,0.05178833333333333,,,
3494,2017,20825C10,1,0.0006189999999999992,,,
3495,2017,20825C10,2,-0.039104999999999994,,,
3496,2017,20825C10,3,0.048923666666666664,,,
3497,2017,20825C10,4,0.03360233333333333,,,
3498,2018,20825C10,1,0.03048033333333333,,,
3499,2018,20825C10,2,0.057012,,,
3500,2018,20825C10,3,0.037415,,,
3501,2018,20825C10,4,-0.06801666666666667,,,
3502,2019,20825C10,1,0.025385,,,
3503,2019,20825C10,2,-0.02690466666666667,,,
3504,2019,20825C10,3,-0.017092333333333334,,,
3505,2019,20825C10,4,0.048973333333333334,,,
3506,2020,20825C10,1,-0.20940199999999998,,,
3507,2020,20825C10,2,0.12498900000000002,,,
3508,2020,20825C10,3,-0.073366,,,
3509,2020,20825C10,4,0.09257066666666665,,,
3510,1980,21037110,1,-0.036721333333333335,,,
3511,1980,21037110,2,0.081408,,,
3512,1980,21037110,3,-0.013860000000000003,,,
3513,1980,21037110,4,-0.021015666666666665,,,
3514,1981,21037110,1,0.050742,,,
3515,1981,21037110,2,0.024867333333333335,,,
3516,1981,21037110,3,-0.010927333333333336,,,
3517,1981,21037110,4,0.032875999999999996,,,
3518,1982,21037110,1,0.044081333333333333,,,
3519,1982,21037110,2,0.005142333333333335,,,
3520,1982,21037110,3,0.051376000000000005,,,
3521,1982,21037110,4,0.010113,,,
3522,1983,21037110,1,0.008472,,,
3523,1983,21037110,2,0.005229333333333333,,,
3524,1983,21037110,3,0.027279666666666664,,,
3525,1983,21037110,4,0.027301999999999996,,,
3526,1984,21037110,1,-0.0012013333333333338,,,
3527,1984,21037110,2,0.019965,,,
3528,1984,21037110,3,0.05159533333333333,,,
3529,1984,21037110,4,0.04552866666666666,,,
3530,1985,21037110,1,0.009851,,,
3531,1985,21037110,2,0.049383333333333335,,,
3532,1985,21037110,3,-0.026533333333333336,,,
3533,1985,21037110,4,0.06814466666666667,,,
3534,1986,21037110,1,0.047669666666666666,,,
3535,1986,21037110,2,0.05197333333333334,,,
3536,1986,21037110,3,0.017457333333333328,,,
3537,1986,21037110,4,0.011913666666666668,,,
3538,1987,21037110,1,-0.022124666666666667,,,
3539,1987,21037110,2,0.009458666666666667,,,
3540,1987,21037110,3,0.004403333333333333,,,
3541,1987,21037110,4,-0.012267333333333333,,,
3542,1988,21037110,1,0.02440566666666667,,,
3543,1988,21037110,2,0.009745333333333333,,,
3544,1988,21037110,3,0.008222333333333333,,,
3545,1988,21037110,4,2.0666666666667097e-05,,,
3546,1989,21037110,1,-0.015843333333333334,,,
3547,1989,21037110,2,0.029734333333333335,,,
3548,1989,21037110,3,0.013120999999999999,,,
3549,1989,21037110,4,0.032196999999999996,,,
3550,1990,21037110,1,-0.040633333333333334,,,
3551,1990,21037110,2,-0.004801999999999997,,,
3552,1990,21037110,3,-0.019738333333333333,,,
3553,1990,21037110,4,0.025196666666666662,,,
3554,1991,21037110,1,0.020845666666666665,,,
3555,1991,21037110,2,0.0075109999999999994,,,
3556,1991,21037110,3,0.03468633333333333,,,
3557,1991,21037110,4,0.029641666666666667,,,
3558,1992,21037110,1,-0.03587966666666667,,,
3559,1992,21037110,2,0.04062533333333334,,,
3560,1992,21037110,3,0.015650333333333332,,,
3561,1992,21037110,4,0.012494,,,
